order_id,customer_id,store_id,order_date,order_status
o00075,c0075,s003,2024-01-08,cancelled
o00076,c0076,s004,2024-01-08,completed
o00077,c0077,s005,2024-01-08,pending
o00078,c0078,s006,2024-01-08,cancelled
o00079,c0079,s001,2024-01-08,completed
o00080,c0080,s002,2024-01-08,pending
o00081,c0081,s003,2024-01-09,cancelled
o00082,c0082,s004,2024-01-09,completed
o00083,c0083,s005,2024-01-09,pending
o00084,c0084,s006,2024-01-09,cancelled
o00085,c0085,s001,2024-01-09,completed
o00086,c0086,s002,2024-01-09,pending
o00087,c0087,s003,2024-01-09,cancelled
o00088,c0088,s004,2024-01-09,completed
o00089,c0089,s005,2024-01-09,pending
o00090,c0090,s006,2024-01-09,cancelled
o00091,c0091,s001,2024-01-10,completed
o00092,c0092,s002,2024-01-10,pending
o00093,c0093,s003,2024-01-10,cancelled
o00094,c0094,s004,2024-01-10,completed
o00095,c0095,s005,2024-01-10,pending
o00096,c0096,s006,2024-01-10,cancelled
o00097,c0097,s001,2024-01-10,completed
o00098,c0098,s002,2024-01-10,pending
o00099,c0099,s003,2024-01-10,cancelled
o00100,c0100,s004,2024-01-10,completed
o00101,c0101,s005,2024-01-11,pending
o00102,c0102,s006,2024-01-11,cancelled
o00103,c0103,s001,2024-01-11,completed
o00104,c0104,s002,2024-01-11,pending
o00105,c0105,s003,2024-01-11,cancelled
o00106,c0106,s004,2024-01-11,completed
o00107,c0107,s005,2024-01-11,pending
o00108,c0108,s006,2024-01-11,cancelled
o00109,c0109,s001,2024-01-11,completed
o00110,c0110,s002,2024-01-11,pending
o00111,c0111,s003,2024-01-12,cancelled
o00112,c0112,s004,2024-01-12,completed
o00113,c0113,s005,2024-01-12,pending
o00114,c0114,s006,2024-01-12,cancelled
o00115,c0115,s001,2024-01-12,completed
o00116,c0116,s002,2024-01-12,pending
o00117,c0117,s003,2024-01-12,cancelled
o00118,c0118,s004,2024-01-12,completed
o00119,c0119,s005,2024-01-12,pending
o00120,c0120,s006,2024-01-12,cancelled
o00121,c0121,s001,2024-01-13,completed
o00122,c0122,s002,2024-01-13,pending
o00123,c0123,s003,2024-01-13,cancelled
o00124,c0124,s004,2024-01-13,completed
o00125,c0125,s005,2024-01-13,pending
o00126,c0126,s006,2024-01-13,cancelled
o00127,c0127,s001,2024-01-13,completed
o00128,c0128,s002,2024-01-13,pending
o00129,c0001,s003,2024-01-13,cancelled
o00130,c0002,s004,2024-01-13,completed
o00131,c0003,s005,2024-01-14,pending
o00132,c0004,s006,2024-01-14,cancelled
o00133,c0005,s001,2024-01-14,completed
o00134,c0006,s002,2024-01-14,pending
o00135,c0007,s003,2024-01-14,cancelled
o00136,c0008,s004,2024-01-14,completed
o00137,c0009,s005,2024-01-14,pending
o00138,c0010,s006,2024-01-14,cancelled
o00139,c0011,s001,2024-01-14,completed
o00140,c0012,s002,2024-01-14,pending
o00141,c0013,s003,2024-01-15,cancelled
o00142,c0014,s004,2024-01-15,completed
o00143,c0015,s005,2024-01-15,pending
o00144,c0016,s006,2024-01-15,cancelled
o00145,c0017,s001,2024-01-15,completed
o00146,c0018,s002,2024-01-15,pending
o00147,c0019,s003,2024-01-15,cancelled
o00148,c0020,s004,2024-01-15,completed
o00149,c0021,s005,2024-01-15,pending
o00150,c0022,s006,2024-01-15,cancelled
o00151,c0023,s001,2024-01-16,completed
o00152,c0024,s002,2024-01-16,pending
o00153,c0025,s003,2024-01-16,cancelled
o00154,c0026,s004,2024-01-16,completed
o00155,c0027,s005,2024-01-16,pending
o00156,c0028,s006,2024-01-16,cancelled
o00157,c0029,s001,2024-01-16,completed
o00158,c0030,s002,2024-01-16,pending
o00159,c0031,s003,2024-01-16,cancelled
o00160,c0032,s004,2024-01-16,completed
o00161,c0033,s005,2024-01-17,pending
o00162,c0034,s006,2024-01-17,cancelled
o00163,c0035,s001,2024-01-17,completed
o00164,c0036,s002,2024-01-17,pending
o00165,c0037,s003,2024-01-17,cancelled
o00166,c0038,s004,2024-01-17,completed
o00167,c0039,s005,2024-01-17,pending
o00168,c0040,s006,2024-01-17,cancelled
o00169,c0041,s001,2024-01-17,completed
o00170,c0042,s002,2024-01-17,pending
o00171,c0043,s003,2024-01-18,cancelled
o00172,c0044,s004,2024-01-18,completed
o00173,c0045,s005,2024-01-18,pending
o00174,c0046,s006,2024-01-18,cancelled
o00175,c0047,s001,2024-01-18,completed
o00176,c0048,s002,2024-01-18,pending
o00177,c0049,s003,2024-01-18,cancelled
o00178,c0050,s004,2024-01-18,completed
o00179,c0051,s005,2024-01-18,pending
o00180,c0052,s006,2024-01-18,cancelled
o00181,c0053,s001,2024-01-19,completed
o00182,c0054,s002,2024-01-19,pending
o00183,c0055,s003,2024-01-19,cancelled
o00184,c0056,s004,2024-01-19,completed
o00185,c0057,s005,2024-01-19,pending
o00186,c0058,s006,2024-01-19,cancelled
o00187,c0059,s001,2024-01-19,completed
o00188,c0060,s002,2024-01-19,pending
o00189,c0061,s003,2024-01-19,cancelled
o00190,c0062,s004,2024-01-19,completed
o00191,c0063,s005,2024-01-20,pending
o00192,c0064,s006,2024-01-20,cancelled
o00193,c0065,s001,2024-01-20,completed
o00194,c0066,s002,2024-01-20,pending
o00195,c0067,s003,2024-01-20,cancelled
o00196,c0068,s004,2024-01-20,completed
o00197,c0069,s005,2024-01-20,pending
o00198,c0070,s006,2024-01-20,cancelled
o00199,c0071,s001,2024-01-20,completed
o00200,c0072,s002,2024-01-20,pending
o00201,c0073,s003,2024-01-21,cancelled
o00202,c0074,s004,2024-01-21,completed
o00203,c0075,s005,2024-01-21,pending
o00204,c0076,s006,2024-01-21,cancelled
o00205,c0077,s001,2024-01-21,completed
o00206,c0078,s002,2024-01-21,pending
o00207,c0079,s003,2024-01-21,cancelled
o00208,c0080,s004,2024-01-21,completed
o00209,c0081,s005,2024-01-21,pending
o00210,c0082,s006,2024-01-21,cancelled
o00211,c0083,s001,2024-01-22,completed
o00212,c0084,s002,2024-01-22,pending
o00213,c0085,s003,2024-01-22,cancelled
o00214,c0086,s004,2024-01-22,completed
o00215,c0087,s005,2024-01-22,pending
o00216,c0088,s006,2024-01-22,cancelled
o00217,c0089,s001,2024-01-22,completed
o00218,c0090,s002,2024-01-22,pending
o00219,c0091,s003,2024-01-22,cancelled
o00220,c0092,s004,2024-01-22,completed
o00221,c0093,s005,2024-01-23,pending
o00222,c0094,s006,2024-01-23,cancelled
o00223,c0095,s001,2024-01-23,completed
o00224,c0096,s002,2024-01-23,pending
o00225,c0097,s003,2024-01-23,cancelled
o00226,c0098,s004,2024-01-23,completed
o00227,c0099,s005,2024-01-23,pending
o00228,c0100,s006,2024-01-23,cancelled
o00229,c0101,s001,2024-01-23,completed
o00230,c0102,s002,2024-01-23,pending
o00231,c0103,s003,2024-01-24,cancelled
o00232,c0104,s004,2024-01-24,completed
o00233,c0105,s005,2024-01-24,pending
o00234,c0106,s006,2024-01-24,cancelled
o00235,c0107,s001,2024-01-24,completed
o00236,c0108,s002,2024-01-24,pending
o00237,c0109,s003,2024-01-24,cancelled
o00238,c0110,s004,2024-01-24,completed
o00239,c0111,s005,2024-01-24,pending
o00240,c0112,s006,2024-01-24,cancelled
o00241,c0113,s001,2024-01-25,completed
o00242,c0114,s002,2024-01-25,pending
o00243,c0115,s003,2024-01-25,cancelled
o00244,c0116,s004,2024-01-25,completed
o00245,c0117,s005,2024-01-25,pending
o00246,c0118,s006,2024-01-25,cancelled
o00247,c0119,s001,2024-01-25,completed
o00248,c0120,s002,2024-01-25,pending
o00249,c0121,s003,2024-01-25,cancelled
o00250,c0122,s004,2024-01-25,completed
o00251,c0123,s005,2024-01-26,pending
o00252,c0124,s006,2024-01-26,cancelled
o00253,c0125,s001,2024-01-26,completed
o00254,c0126,s002,2024-01-26,pending
o00255,c0127,s003,2024-01-26,cancelled
o00256,c0128,s004,2024-01-26,completed
o00257,c0001,s005,2024-01-26,pending
o00258,c0002,s006,2024-01-26,cancelled
o00259,c0003,s001,2024-01-26,completed
o00260,c0004,s002,2024-01-26,pending
o00261,c0005,s003,2024-01-27,cancelled
o00262,c0006,s004,2024-01-27,completed
o00263,c0007,s005,2024-01-27,pending
o00264,c0008,s006,2024-01-27,cancelled
o00265,c0009,s001,2024-01-27,completed
o00266,c0010,s002,2024-01-27,pending
o00267,c0011,s003,2024-01-27,cancelled
o00268,c0012,s004,2024-01-27,completed
o00269,c0013,s005,2024-01-27,pending
o00270,c0014,s006,2024-01-27,cancelled
o00271,c0015,s001,2024-01-28,completed
o00272,c0016,s002,2024-01-28,pending
o00273,c0017,s003,2024-01-28,cancelled
o00274,c0018,s004,2024-01-28,completed
o00275,c0019,s005,2024-01-28,pending
o00276,c0020,s006,2024-01-28,cancelled
o00277,c0021,s001,2024-01-28,completed
o00278,c0022,s002,2024-01-28,pending
o00279,c0023,s003,2024-01-28,cancelled
o00280,c0024,s004,2024-01-28,completed
o00281,c0025,s005,2024-01-29,pending
o00282,c0026,s006,2024-01-29,cancelled
o00283,c0027,s001,2024-01-29,completed
o00284,c0028,s002,2024-01-29,pending
o00285,c0029,s003,2024-01-29,cancelled
o00286,c0030,s004,2024-01-29,completed
o00287,c0031,s005,2024-01-29,pending
o00288,c0032,s006,2024-01-29,cancelled
o00289,c0033,s001,2024-01-29,completed
o00290,c0034,s002,2024-01-29,pending
o00291,c0035,s003,2024-01-30,cancelled
o00292,c0036,s004,2024-01-30,completed
o00293,c0037,s005,2024-01-30,pending
o00294,c0038,s006,2024-01-30,cancelled
o00295,c0039,s001,2024-01-30,completed
o00296,c0040,s002,2024-01-30,pending
o00297,c0041,s003,2024-01-30,cancelled
o00298,c0042,s004,2024-01-30,completed
o00299,c0043,s005,2024-01-30,pending
o00300,c0044,s006,2024-01-30,cancelled
o00301,c0045,s001,2024-01-31,completed
o00302,c0046,s002,2024-01-31,pending
o00303,c0047,s003,2024-01-31,cancelled
o00304,c0048,s004,2024-01-31,completed
o00305,c0049,s005,2024-01-31,pending
o00306,c0050,s006,2024-01-31,cancelled
o00307,c0051,s001,2024-01-31,completed
o00308,c0052,s002,2024-01-31,pending
o00309,c0053,s003,2024-01-31,cancelled
o00310,c0054,s004,2024-01-31,completed
o00311,c0055,s005,2024-02-01,pending
o00312,c0056,s006,2024-02-01,cancelled
o00313,c0057,s001,2024-02-01,completed
o00314,c0058,s002,2024-02-01,pending
o00315,c0059,s003,2024-02-01,cancelled
o00316,c0060,s004,2024-02-01,completed
o00317,c0061,s005,2024-02-01,pending
o00318,c0062,s006,2024-02-01,cancelled
o00319,c0063,s001,2024-02-01,completed
o00320,c0064,s002,2024-02-01,pending
o00321,c0065,s003,2024-02-02,cancelled
o00322,c0066,s004,2024-02-02,completed
o00323,c0067,s005,2024-02-02,pending
o00324,c0068,s006,2024-02-02,cancelled
o00325,c0069,s001,2024-02-02,completed
o00326,c0070,s002,2024-02-02,pending
o00327,c0071,s003,2024-02-02,cancelled
o00328,c0072,s004,2024-02-02,completed
o00329,c0073,s005,2024-02-02,pending
o00330,c0074,s006,2024-02-02,cancelled
o00331,c0075,s001,2024-02-03,completed
o00332,c0076,s002,2024-02-03,pending
o00333,c0077,s003,2024-02-03,cancelled
o00334,c0078,s004,2024-02-03,completed
o00335,c0079,s005,2024-02-03,pending
o00336,c0080,s006,2024-02-03,cancelled
o00337,c0081,s001,2024-02-03,completed
o00338,c0082,s002,2024-02-03,pending
o00339,c0083,s003,2024-02-03,cancelled
o00340,c0084,s004,2024-02-03,completed
o00341,c0085,s005,2024-02-04,pending
o00342,c0086,s006,2024-02-04,cancelled
o00343,c0087,s001,2024-02-04,completed
o00344,c0088,s002,2024-02-04,pending
o00345,c0089,s003,2024-02-04,cancelled
o00346,c0090,s004,2024-02-04,completed
o00347,c0091,s005,2024-02-04,pending
o00348,c0092,s006,2024-02-04,cancelled
o00349,c0093,s001,2024-02-04,completed
o00350,c0094,s002,2024-02-04,pending
o00351,c0095,s003,2024-02-05,cancelled
o00352,c0096,s004,2024-02-05,completed
o00353,c0097,s005,2024-02-05,pending
o00354,c0098,s006,2024-02-05,cancelled
o00355,c0099,s001,2024-02-05,completed
o00356,c0100,s002,2024-02-05,pending
o00357,c0101,s003,2024-02-05,cancelled
o00358,c0102,s004,2024-02-05,completed
o00359,c0103,s005,2024-02-05,pending
o00360,c0104,s006,2024-02-05,cancelled
o00361,c0105,s001,2024-02-06,completed
o00362,c0106,s002,2024-02-06,pending
o00363,c0107,s003,2024-02-06,cancelled
o00364,c0108,s004,2024-02-06,completed
o00365,c0109,s005,2024-02-06,pending
o00366,c0110,s006,2024-02-06,cancelled
o00367,c0111,s001,2024-02-06,completed
o00368,c0112,s002,2024-02-06,pending
o00369,c0113,s003,2024-02-06,cancelled
o00370,c0114,s004,2024-02-06,completed
o00371,c0115,s005,2024-02-07,pending
o00372,c0116,s006,2024-02-07,cancelled
o00373,c0117,s001,2024-02-07,completed
o00374,c0118,s002,2024-02-07,pending
o00375,c0119,s003,2024-02-07,cancelled
o00376,c0120,s004,2024-02-07,completed
o00377,c0121,s005,2024-02-07,pending
o00378,c0122,s006,2024-02-07,cancelled
o00379,c0123,s001,2024-02-07,completed
o00380,c0124,s002,2024-02-07,pending
o00381,c0125,s003,2024-02-08,cancelled
o00382,c0126,s004,2024-02-08,completed
o00383,c0127,s005,2024-02-08,pending
o00384,c0128,s006,2024-02-08,cancelled
o00385,c0001,s001,2024-02-08,completed
o00386,c0002,s002,2024-02-08,pending
o00387,c0003,s003,2024-02-08,cancelled
o00388,c0004,s004,2024-02-08,completed
o00389,c0005,s005,2024-02-08,pending
o00390,c0006,s006,2024-02-08,cancelled
o00391,c0007,s001,2024-02-09,completed
o00392,c0008,s002,2024-02-09,pending
o00393,c0009,s003,2024-02-09,cancelled
o00394,c0010,s004,2024-02-09,completed
o00395,c0011,s005,2024-02-09,pending
o00396,c0012,s006,2024-02-09,cancelled
o00397,c0013,s001,2024-02-09,completed
o00398,c0014,s002,2024-02-09,pending
o00399,c0015,s003,2024-02-09,cancelled
o00400,c0016,s004,2024-02-09,completed
o00401,c0017,s005,2024-02-10,pending
o00402,c0018,s006,2024-02-10,cancelled
o00403,c0019,s001,2024-02-10,completed
o00404,c0020,s002,2024-02-10,pending
o00405,c0021,s003,2024-02-10,cancelled
o00406,c0022,s004,2024-02-10,completed
o00407,c0023,s005,2024-02-10,pending
o00408,c0024,s006,2024-02-10,cancelled
o00409,c0025,s001,2024-02-10,completed
o00410,c0026,s002,2024-02-10,pending
o00411,c0027,s003,2024-02-11,cancelled
o00412,c0028,s004,2024-02-11,completed
o00413,c0029,s005,2024-02-11,pending
o00414,c0030,s006,2024-02-11,cancelled
o00415,c0031,s001,2024-02-11,completed
o00416,c0032,s002,2024-02-11,pending
o00417,c0033,s003,2024-02-11,cancelled
o00418,c0034,s004,2024-02-11,completed
o00419,c0035,s005,2024-02-11,pending
o00420,c0036,s006,2024-02-11,cancelled
o00421,c0037,s001,2024-02-12,completed
o00422,c0038,s002,2024-02-12,pending
o00423,c0039,s003,2024-02-12,cancelled
o00424,c0040,s004,2024-02-12,completed
o00425,c0041,s005,2024-02-12,pending
o00426,c0042,s006,2024-02-12,cancelled
o00427,c0043,s001,2024-02-12,completed
o00428,c0044,s002,2024-02-12,pending
o00429,c0045,s003,2024-02-12,cancelled
o00430,c0046,s004,2024-02-12,completed
o00431,c0047,s005,2024-02-13,pending
o00432,c0048,s006,2024-02-13,cancelled
o00433,c0049,s001,2024-02-13,completed
o00434,c0050,s002,2024-02-13,pending
o00435,c0051,s003,2024-02-13,cancelled
o00436,c0052,s004,2024-02-13,completed
o00437,c0053,s005,2024-02-13,pending
o00438,c0054,s006,2024-02-13,cancelled
o00439,c0055,s001,2024-02-13,completed
o00440,c0056,s002,2024-02-13,pending
o00441,c0057,s003,2024-02-14,cancelled
o00442,c0058,s004,2024-02-14,completed
o00443,c0059,s005,2024-02-14,pending
o00444,c0060,s006,2024-02-14,cancelled
o00445,c0061,s001,2024-02-14,completed
o00446,c0062,s002,2024-02-14,pending
o00447,c0063,s003,2024-02-14,cancelled
o00448,c0064,s004,2024-02-14,completed
o00449,c0065,s005,2024-02-14,pending
o00450,c0066,s006,2024-02-14,cancelled
o00451,c0067,s001,2024-02-15,completed
o00452,c0068,s002,2024-02-15,pending
o00453,c0069,s003,2024-02-15,cancelled
o00454,c0070,s004,2024-02-15,completed
o00455,c0071,s005,2024-02-15,pending
o00456,c0072,s006,2024-02-15,cancelled
o00457,c0073,s001,2024-02-15,completed
o00458,c0074,s002,2024-02-15,pending
o00459,c0075,s003,2024-02-15,cancelled
o00460,c0076,s004,2024-02-15,completed
o00461,c0077,s005,2024-02-16,pending
o00462,c0078,s006,2024-02-16,cancelled
o00463,c0079,s001,2024-02-16,completed
o00464,c0080,s002,2024-02-16,pending
o00465,c0081,s003,2024-02-16,cancelled
o00466,c0082,s004,2024-02-16,completed
o00467,c0083,s005,2024-02-16,pending
o00468,c0084,s006,2024-02-16,cancelled
o00469,c0085,s001,2024-02-16,completed
o00470,c0086,s002,2024-02-16,pending
o00471,c0087,s003,2024-02-17,cancelled
o00472,c0088,s004,2024-02-17,completed
o00473,c0089,s005,2024-02-17,pending
o00474,c0090,s006,2024-02-17,cancelled
o00475,c0091,s001,2024-02-17,completed
o00476,c0092,s002,2024-02-17,pending
o00477,c0093,s003,2024-02-17,cancelled
o00478,c0094,s004,2024-02-17,completed
o00479,c0095,s005,2024-02-17,pending
o00480,c0096,s006,2024-02-17,cancelled
o00481,c0097,s001,2024-02-18,completed
o00482,c0098,s002,2024-02-18,pending
o00483,c0099,s003,2024-02-18,cancelled
o00484,c0100,s004,2024-02-18,completed
o00485,c0101,s005,2024-02-18,pending
o00486,c0102,s006,2024-02-18,cancelled
o00487,c0103,s001,2024-02-18,completed
o00488,c0104,s002,2024-02-18,pending
o00489,c0105,s003,2024-02-18,cancelled
o00490,c0106,s004,2024-02-18,completed
o00491,c0107,s005,2024-02-19,pending
o00492,c0108,s006,2024-02-19,cancelled
o00493,c0109,s001,2024-02-19,completed
o00494,c0110,s002,2024-02-19,pending
o00495,c0111,s003,2024-02-19,cancelled
o00496,c0112,s004,2024-02-19,completed
o00497,c0113,s005,2024-02-19,pending
o00498,c0114,s006,2024-02-19,cancelled
o00499,c0115,s001,2024-02-19,completed
o00500,c0116,s002,2024-02-19,pending
o00501,c0117,s003,2024-02-20,cancelled
o00502,c0118,s004,2024-02-20,completed
o00503,c0119,s005,2024-02-20,pending
o00504,c0120,s006,2024-02-20,cancelled
o00505,c0121,s001,2024-02-20,completed
o00506,c0122,s002,2024-02-20,pending
o00507,c0123,s003,2024-02-20,cancelled
o00508,c0124,s004,2024-02-20,completed
o00509,c0125,s005,2024-02-20,pending
o00510,c0126,s006,2024-02-20,cancelled
o00511,c0127,s001,2024-02-21,completed
o00512,c0128,s002,2024-02-21,pending
o00513,c0001,s003,2024-02-21,cancelled
o00514,c0002,s004,2024-02-21,completed
o00515,c0003,s005,2024-02-21,pending
o00516,c0004,s006,2024-02-21,cancelled
o00517,c0005,s001,2024-02-21,completed
o00518,c0006,s002,2024-02-21,pending
o00519,c0007,s003,2024-02-21,cancelled
o00520,c0008,s004,2024-02-21,completed
o00521,c0009,s005,2024-02-22,pending
o00522,c0010,s006,2024-02-22,cancelled
o00523,c0011,s001,2024-02-22,completed
o00524,c0012,s002,2024-02-22,pending
o00525,c0013,s003,2024-02-22,cancelled
o00526,c0014,s004,2024-02-22,completed
o00527,c0015,s005,2024-02-22,pending
o00528,c0016,s006,2024-02-22,cancelled
o00529,c0017,s001,2024-02-22,completed
o00530,c0018,s002,2024-02-22,pending
o00531,c0019,s003,2024-02-23,cancelled
o00532,c0020,s004,2024-02-23,completed
o00533,c0021,s005,2024-02-23,pending
o00534,c0022,s006,2024-02-23,cancelled
o00535,c0023,s001,2024-02-23,completed
o00536,c0024,s002,2024-02-23,pending
o00537,c0025,s003,2024-02-23,cancelled
o00538,c0026,s004,2024-02-23,completed
o00539,c0027,s005,2024-02-23,pending
o00540,c0028,s006,2024-02-23,cancelled
o00541,c0029,s001,2024-02-24,completed
o00542,c0030,s002,2024-02-24,pending
o00543,c0031,s003,2024-02-24,cancelled
o00544,c0032,s004,2024-02-24,completed
o00545,c0033,s005,2024-02-24,pending
o00546,c0034,s006,2024-02-24,cancelled
o00547,c0035,s001,2024-02-24,completed
o00548,c0036,s002,2024-02-24,pending
o00549,c0037,s003,2024-02-24,cancelled
o00550,c0038,s004,2024-02-24,completed
o00551,c0039,s005,2024-02-25,pending
o00552,c0040,s006,2024-02-25,cancelled
o00553,c0041,s001,2024-02-25,completed
o00554,c0042,s002,2024-02-25,pending
o00555,c0043,s003,2024-02-25,cancelled
o00556,c0044,s004,2024-02-25,completed
o00557,c0045,s005,2024-02-25,pending
o00558,c0046,s006,2024-02-25,cancelled
o00559,c0047,s001,2024-02-25,completed
o00560,c0048,s002,2024-02-25,pending
o00561,c0049,s003,2024-02-26,cancelled
o00562,c0050,s004,2024-02-26,completed
o00563,c0051,s005,2024-02-26,pending
o00564,c0052,s006,2024-02-26,cancelled
o00565,c0053,s001,2024-02-26,completed
o00566,c0054,s002,2024-02-26,pending
o00567,c0055,s003,2024-02-26,cancelled
o00568,c0056,s004,2024-02-26,completed
o00569,c0057,s005,2024-02-26,pending
o00570,c0058,s006,2024-02-26,cancelled
o00571,c0059,s001,2024-02-27,completed
o00572,c0060,s002,2024-02-27,pending
o00573,c0061,s003,2024-02-27,cancelled
o00574,c0062,s004,2024-02-27,completed
o00575,c0063,s005,2024-02-27,pending
o00576,c0064,s006,2024-02-27,cancelled
o00577,c0065,s001,2024-02-27,completed
o00578,c0066,s002,2024-02-27,pending
o00579,c0067,s003,2024-02-27,cancelled
o00580,c0068,s004,2024-02-27,completed
o00581,c0069,s005,2024-02-28,pending
o00582,c0070,s006,2024-02-28,cancelled
o00583,c0071,s001,2024-02-28,completed
o00584,c0072,s002,2024-02-28,pending
o00585,c0073,s003,2024-02-28,cancelled
o00586,c0074,s004,2024-02-28,completed
o00587,c0075,s005,2024-02-28,pending
o00588,c0076,s006,2024-02-28,cancelled
o00589,c0077,s001,2024-02-28,completed
o00590,c0078,s002,2024-02-28,pending
o00591,c0079,s003,2024-02-29,cancelled
o00592,c0080,s004,2024-02-29,completed
o00593,c0081,s005,2024-02-29,pending
o00594,c0082,s006,2024-02-29,cancelled
o00595,c0083,s001,2024-02-29,completed
o00596,c0084,s002,2024-02-29,pending
o00597,c0085,s003,2024-02-29,cancelled
o00598,c0086,s004,2024-02-29,completed
o00599,c0087,s005,2024-02-29,pending
o00600,c0088,s006,2024-02-29,cancelled
o00601,c0089,s001,2024-03-01,completed
o00602,c0090,s002,2024-03-01,pending
o00603,c0091,s003,2024-03-01,cancelled
o00604,c0092,s004,2024-03-01,completed
o00605,c0093,s005,2024-03-01,pending
o00606,c0094,s006,2024-03-01,cancelled
o00607,c0095,s001,2024-03-01,completed
o00608,c0096,s002,2024-03-01,pending
o00609,c0097,s003,2024-03-01,cancelled
o00610,c0098,s004,2024-03-01,completed
o00611,c0099,s005,2024-03-02,pending
o00612,c0100,s006,2024-03-02,cancelled
o00613,c0101,s001,2024-03-02,completed
o00614,c0102,s002,2024-03-02,pending
o00615,c0103,s003,2024-03-02,cancelled
o00616,c0104,s004,2024-03-02,completed
o00617,c0105,s005,2024-03-02,pending
o00618,c0106,s006,2024-03-02,cancelled
o00619,c0107,s001,2024-03-02,completed
o00620,c0108,s002,2024-03-02,pending
o00621,c0109,s003,2024-03-03,cancelled
o00622,c0110,s004,2024-03-03,completed
o00623,c0111,s005,2024-03-03,pending
o00624,c0112,s006,2024-03-03,cancelled
o00625,c0113,s001,2024-03-03,completed
o00626,c0114,s002,2024-03-03,pending
o00627,c0115,s003,2024-03-03,cancelled
o00628,c0116,s004,2024-03-03,completed
o00629,c0117,s005,2024-03-03,pending
o00630,c0118,s006,2024-03-03,cancelled
o00631,c0119,s001,2024-03-04,completed
o00632,c0120,s002,2024-03-04,pending
o00633,c0121,s003,2024-03-04,cancelled
o00634,c0122,s004,2024-03-04,completed
o00635,c0123,s005,2024-03-04,pending
o00636,c0124,s006,2024-03-04,cancelled
o00637,c0125,s001,2024-03-04,completed
o00638,c0126,s002,2024-03-04,pending
o00639,c0127,s003,2024-03-04,cancelled
o00640,c0128,s004,2024-03-04,completed
o00641,c0001,s005,2024-03-05,pending
o00642,c0002,s006,2024-03-05,cancelled
o00643,c0003,s001,2024-03-05,completed
o00644,c0004,s002,2024-03-05,pending
