order_item_id,order_id,product_id,quantity,unit_price
oi00118,o00118,p008,2,50.00
oi00119,o00119,p009,3,55.00
oi00120,o00120,p010,4,60.00
oi00121,o00121,p001,1,15.00
oi00122,o00122,p002,2,20.00
oi00123,o00123,p003,3,25.00
oi00124,o00124,p004,4,30.00
oi00125,o00125,p005,1,35.00
oi00126,o00126,p006,2,40.00
oi00127,o00127,p007,3,45.00
oi00128,o00128,p008,4,50.00
oi00129,o00129,p009,1,55.00
oi00130,o00130,p010,2,60.00
oi00131,o00131,p001,3,15.00
oi00132,o00132,p002,4,20.00
oi00133,o00133,p003,1,25.00
oi00134,o00134,p004,2,30.00
oi00135,o00135,p005,3,35.00
oi00136,o00136,p006,4,40.00
oi00137,o00137,p007,1,45.00
oi00138,o00138,p008,2,50.00
oi00139,o00139,p009,3,55.00
oi00140,o00140,p010,4,60.00
oi00141,o00141,p001,1,15.00
oi00142,o00142,p002,2,20.00
oi00143,o00143,p003,3,25.00
oi00144,o00144,p004,4,30.00
oi00145,o00145,p005,1,35.00
oi00146,o00146,p006,2,40.00
oi00147,o00147,p007,3,45.00
oi00148,o00148,p008,4,50.00
oi00149,o00149,p009,1,55.00
oi00150,o00150,p010,2,60.00
oi00151,o00151,p001,3,15.00
oi00152,o00152,p002,4,20.00
oi00153,o00153,p003,1,25.00
oi00154,o00154,p004,2,30.00
oi00155,o00155,p005,3,35.00
oi00156,o00156,p006,4,40.00
oi00157,o00157,p007,1,45.00
oi00158,o00158,p008,2,50.00
oi00159,o00159,p009,3,55.00
oi00160,o00160,p010,4,60.00
oi00161,o00161,p001,1,15.00
oi00162,o00162,p002,2,20.00
oi00163,o00163,p003,3,25.00
oi00164,o00164,p004,4,30.00
oi00165,o00165,p005,1,35.00
oi00166,o00166,p006,2,40.00
oi00167,o00167,p007,3,45.00
oi00168,o00168,p008,4,50.00
oi00169,o00169,p009,1,55.00
oi00170,o00170,p010,2,60.00
oi00171,o00171,p001,3,15.00
oi00172,o00172,p002,4,20.00
oi00173,o00173,p003,1,25.00
oi00174,o00174,p004,2,30.00
oi00175,o00175,p005,3,35.00
oi00176,o00176,p006,4,40.00
oi00177,o00177,p007,1,45.00
oi00178,o00178,p008,2,50.00
oi00179,o00179,p009,3,55.00
oi00180,o00180,p010,4,60.00
oi00181,o00181,p001,1,15.00
oi00182,o00182,p002,2,20.00
oi00183,o00183,p003,3,25.00
oi00184,o00184,p004,4,30.00
oi00185,o00185,p005,1,35.00
oi00186,o00186,p006,2,40.00
oi00187,o00187,p007,3,45.00
oi00188,o00188,p008,4,50.00
oi00189,o00189,p009,1,55.00
oi00190,o00190,p010,2,60.00
oi00191,o00191,p001,3,15.00
oi00192,o00192,p002,4,20.00
oi00193,o00193,p003,1,25.00
oi00194,o00194,p004,2,30.00
oi00195,o00195,p005,3,35.00
oi00196,o00196,p006,4,40.00
oi00197,o00197,p007,1,45.00
oi00198,o00198,p008,2,50.00
oi00199,o00199,p009,3,55.00
oi00200,o00200,p010,4,60.00
oi00201,o00201,p001,1,15.00
oi00202,o00202,p002,2,20.00
oi00203,o00203,p003,3,25.00
oi00204,o00204,p004,4,30.00
oi00205,o00205,p005,1,35.00
oi00206,o00206,p006,2,40.00
oi00207,o00207,p007,3,45.00
oi00208,o00208,p008,4,50.00
oi00209,o00209,p009,1,55.00
oi00210,o00210,p010,2,60.00
oi00211,o00211,p001,3,15.00
oi00212,o00212,p002,4,20.00
oi00213,o00213,p003,1,25.00
oi00214,o00214,p004,2,30.00
oi00215,o00215,p005,3,35.00
oi00216,o00216,p006,4,40.00
oi00217,o00217,p007,1,45.00
oi00218,o00218,p008,2,50.00
oi00219,o00219,p009,3,55.00
oi00220,o00220,p010,4,60.00
oi00221,o00221,p001,1,15.00
oi00222,o00222,p002,2,20.00
oi00223,o00223,p003,3,25.00
oi00224,o00224,p004,4,30.00
oi00225,o00225,p005,1,35.00
oi00226,o00226,p006,2,40.00
oi00227,o00227,p007,3,45.00
oi00228,o00228,p008,4,50.00
oi00229,o00229,p009,1,55.00
oi00230,o00230,p010,2,60.00
oi00231,o00231,p001,3,15.00
oi00232,o00232,p002,4,20.00
oi00233,o00233,p003,1,25.00
oi00234,o00234,p004,2,30.00
oi00235,o00235,p005,3,35.00
oi00236,o00236,p006,4,40.00
oi00237,o00237,p007,1,45.00
oi00238,o00238,p008,2,50.00
oi00239,o00239,p009,3,55.00
oi00240,o00240,p010,4,60.00
oi00241,o00241,p001,1,15.00
oi00242,o00242,p002,2,20.00
oi00243,o00243,p003,3,25.00
oi00244,o00244,p004,4,30.00
oi00245,o00245,p005,1,35.00
oi00246,o00246,p006,2,40.00
oi00247,o00247,p007,3,45.00
oi00248,o00248,p008,4,50.00
oi00249,o00249,p009,1,55.00
oi00250,o00250,p010,2,60.00
oi00251,o00251,p001,3,15.00
oi00252,o00252,p002,4,20.00
oi00253,o00253,p003,1,25.00
oi00254,o00254,p004,2,30.00
oi00255,o00255,p005,3,35.00
oi00256,o00256,p006,4,40.00
oi00257,o00257,p007,1,45.00
oi00258,o00258,p008,2,50.00
oi00259,o00259,p009,3,55.00
oi00260,o00260,p010,4,60.00
oi00261,o00261,p001,1,15.00
oi00262,o00262,p002,2,20.00
oi00263,o00263,p003,3,25.00
oi00264,o00264,p004,4,30.00
oi00265,o00265,p005,1,35.00
oi00266,o00266,p006,2,40.00
oi00267,o00267,p007,3,45.00
oi00268,o00268,p008,4,50.00
oi00269,o00269,p009,1,55.00
oi00270,o00270,p010,2,60.00
oi00271,o00271,p001,3,15.00
oi00272,o00272,p002,4,20.00
oi00273,o00273,p003,1,25.00
oi00274,o00274,p004,2,30.00
oi00275,o00275,p005,3,35.00
oi00276,o00276,p006,4,40.00
oi00277,o00277,p007,1,45.00
oi00278,o00278,p008,2,50.00
oi00279,o00279,p009,3,55.00
oi00280,o00280,p010,4,60.00
oi00281,o00281,p001,1,15.00
oi00282,o00282,p002,2,20.00
oi00283,o00283,p003,3,25.00
oi00284,o00284,p004,4,30.00
oi00285,o00285,p005,1,35.00
oi00286,o00286,p006,2,40.00
oi00287,o00287,p007,3,45.00
oi00288,o00288,p008,4,50.00
oi00289,o00289,p009,1,55.00
oi00290,o00290,p010,2,60.00
oi00291,o00291,p001,3,15.00
oi00292,o00292,p002,4,20.00
oi00293,o00293,p003,1,25.00
oi00294,o00294,p004,2,30.00
oi00295,o00295,p005,3,35.00
oi00296,o00296,p006,4,40.00
oi00297,o00297,p007,1,45.00
oi00298,o00298,p008,2,50.00
oi00299,o00299,p009,3,55.00
oi00300,o00300,p010,4,60.00
oi00301,o00301,p001,1,15.00
oi00302,o00302,p002,2,20.00
oi00303,o00303,p003,3,25.00
oi00304,o00304,p004,4,30.00
oi00305,o00305,p005,1,35.00
oi00306,o00306,p006,2,40.00
oi00307,o00307,p007,3,45.00
oi00308,o00308,p008,4,50.00
oi00309,o00309,p009,1,55.00
oi00310,o00310,p010,2,60.00
oi00311,o00311,p001,3,15.00
oi00312,o00312,p002,4,20.00
oi00313,o00313,p003,1,25.00
oi00314,o00314,p004,2,30.00
oi00315,o00315,p005,3,35.00
oi00316,o00316,p006,4,40.00
oi00317,o00317,p007,1,45.00
oi00318,o00318,p008,2,50.00
oi00319,o00319,p009,3,55.00
oi00320,o00320,p010,4,60.00
oi00321,o00321,p001,1,15.00
oi00322,o00322,p002,2,20.00
oi00323,o00323,p003,3,25.00
oi00324,o00324,p004,4,30.00
oi00325,o00325,p005,1,35.00
oi00326,o00326,p006,2,40.00
oi00327,o00327,p007,3,45.00
oi00328,o00328,p008,4,50.00
oi00329,o00329,p009,1,55.00
oi00330,o00330,p010,2,60.00
oi00331,o00331,p001,3,15.00
oi00332,o00332,p002,4,20.00
oi00333,o00333,p003,1,25.00
oi00334,o00334,p004,2,30.00
oi00335,o00335,p005,3,35.00
oi00336,o00336,p006,4,40.00
oi00337,o00337,p007,1,45.00
oi00338,o00338,p008,2,50.00
oi00339,o00339,p009,3,55.00
oi00340,o00340,p010,4,60.00
oi00341,o00341,p001,1,15.00
oi00342,o00342,p002,2,20.00
oi00343,o00343,p003,3,25.00
oi00344,o00344,p004,4,30.00
oi00345,o00345,p005,1,35.00
oi00346,o00346,p006,2,40.00
oi00347,o00347,p007,3,45.00
oi00348,o00348,p008,4,50.00
oi00349,o00349,p009,1,55.00
oi00350,o00350,p010,2,60.00
oi00351,o00351,p001,3,15.00
oi00352,o00352,p002,4,20.00
oi00353,o00353,p003,1,25.00
oi00354,o00354,p004,2,30.00
oi00355,o00355,p005,3,35.00
oi00356,o00356,p006,4,40.00
oi00357,o00357,p007,1,45.00
oi00358,o00358,p008,2,50.00
oi00359,o00359,p009,3,55.00
oi00360,o00360,p010,4,60.00
oi00361,o00361,p001,1,15.00
oi00362,o00362,p002,2,20.00
oi00363,o00363,p003,3,25.00
oi00364,o00364,p004,4,30.00
oi00365,o00365,p005,1,35.00
oi00366,o00366,p006,2,40.00
oi00367,o00367,p007,3,45.00
oi00368,o00368,p008,4,50.00
oi00369,o00369,p009,1,55.00
oi00370,o00370,p010,2,60.00
oi00371,o00371,p001,3,15.00
oi00372,o00372,p002,4,20.00
oi00373,o00373,p003,1,25.00
oi00374,o00374,p004,2,30.00
oi00375,o00375,p005,3,35.00
oi00376,o00376,p006,4,40.00
oi00377,o00377,p007,1,45.00
oi00378,o00378,p008,2,50.00
oi00379,o00379,p009,3,55.00
oi00380,o00380,p010,4,60.00
oi00381,o00381,p001,1,15.00
oi00382,o00382,p002,2,20.00
oi00383,o00383,p003,3,25.00
oi00384,o00384,p004,4,30.00
oi00385,o00385,p005,1,35.00
oi00386,o00386,p006,2,40.00
oi00387,o00387,p007,3,45.00
oi00388,o00388,p008,4,50.00
oi00389,o00389,p009,1,55.00
oi00390,o00390,p010,2,60.00
oi00391,o00391,p001,3,15.00
oi00392,o00392,p002,4,20.00
oi00393,o00393,p003,1,25.00
oi00394,o00394,p004,2,30.00
oi00395,o00395,p005,3,35.00
oi00396,o00396,p006,4,40.00
oi00397,o00397,p007,1,45.00
oi00398,o00398,p008,2,50.00
oi00399,o00399,p009,3,55.00
oi00400,o00400,p010,4,60.00
oi00401,o00401,p001,1,15.00
oi00402,o00402,p002,2,20.00
oi00403,o00403,p003,3,25.00
oi00404,o00404,p004,4,30.00
oi00405,o00405,p005,1,35.00
oi00406,o00406,p006,2,40.00
oi00407,o00407,p007,3,45.00
oi00408,o00408,p008,4,50.00
oi00409,o00409,p009,1,55.00
oi00410,o00410,p010,2,60.00
oi00411,o00411,p001,3,15.00
oi00412,o00412,p002,4,20.00
oi00413,o00413,p003,1,25.00
oi00414,o00414,p004,2,30.00
oi00415,o00415,p005,3,35.00
oi00416,o00416,p006,4,40.00
oi00417,o00417,p007,1,45.00
oi00418,o00418,p008,2,50.00
oi00419,o00419,p009,3,55.00
oi00420,o00420,p010,4,60.00
oi00421,o00421,p001,1,15.00
oi00422,o00422,p002,2,20.00
oi00423,o00423,p003,3,25.00
oi00424,o00424,p004,4,30.00
oi00425,o00425,p005,1,35.00
oi00426,o00426,p006,2,40.00
oi00427,o00427,p007,3,45.00
oi00428,o00428,p008,4,50.00
oi00429,o00429,p009,1,55.00
oi00430,o00430,p010,2,60.00
oi00431,o00431,p001,3,15.00
oi00432,o00432,p002,4,20.00
oi00433,o00433,p003,1,25.00
oi00434,o00434,p004,2,30.00
oi00435,o00435,p005,3,35.00
oi00436,o00436,p006,4,40.00
oi00437,o00437,p007,1,45.00
oi00438,o00438,p008,2,50.00
oi00439,o00439,p009,3,55.00
oi00440,o00440,p010,4,60.00
oi00441,o00441,p001,1,15.00
oi00442,o00442,p002,2,20.00
oi00443,o00443,p003,3,25.00
oi00444,o00444,p004,4,30.00
oi00445,o00445,p005,1,35.00
oi00446,o00446,p006,2,40.00
oi00447,o00447,p007,3,45.00
oi00448,o00448,p008,4,50.00
oi00449,o00449,p009,1,55.00
oi00450,o00450,p010,2,60.00
oi00451,o00451,p001,3,15.00
oi00452,o00452,p002,4,20.00
oi00453,o00453,p003,1,25.00
oi00454,o00454,p004,2,30.00
oi00455,o00455,p005,3,35.00
oi00456,o00456,p006,4,40.00
oi00457,o00457,p007,1,45.00
oi00458,o00458,p008,2,50.00
oi00459,o00459,p009,3,55.00
oi00460,o00460,p010,4,60.00
oi00461,o00461,p001,1,15.00
oi00462,o00462,p002,2,20.00
oi00463,o00463,p003,3,25.00
oi00464,o00464,p004,4,30.00
oi00465,o00465,p005,1,35.00
oi00466,o00466,p006,2,40.00
oi00467,o00467,p007,3,45.00
oi00468,o00468,p008,4,50.00
oi00469,o00469,p009,1,55.00
oi00470,o00470,p010,2,60.00
oi00471,o00471,p001,3,15.00
oi00472,o00472,p002,4,20.00
oi00473,o00473,p003,1,25.00
oi00474,o00474,p004,2,30.00
oi00475,o00475,p005,3,35.00
oi00476,o00476,p006,4,40.00
oi00477,o00477,p007,1,45.00
oi00478,o00478,p008,2,50.00
oi00479,o00479,p009,3,55.00
oi00480,o00480,p010,4,60.00
oi00481,o00481,p001,1,15.00
oi00482,o00482,p002,2,20.00
oi00483,o00483,p003,3,25.00
oi00484,o00484,p004,4,30.00
oi00485,o00485,p005,1,35.00
oi00486,o00486,p006,2,40.00
oi00487,o00487,p007,3,45.00
oi00488,o00488,p008,4,50.00
oi00489,o00489,p009,1,55.00
oi00490,o00490,p010,2,60.00
oi00491,o00491,p001,3,15.00
oi00492,o00492,p002,4,20.00
oi00493,o00493,p003,1,25.00
oi00494,o00494,p004,2,30.00
oi00495,o00495,p005,3,35.00
oi00496,o00496,p006,4,40.00
oi00497,o00497,p007,1,45.00
oi00498,o00498,p008,2,50.00
oi00499,o00499,p009,3,55.00
oi00500,o00500,p010,4,60.00
oi00501,o00501,p001,1,15.00
oi00502,o00502,p002,2,20.00
oi00503,o00503,p003,3,25.00
oi00504,o00504,p004,4,30.00
oi00505,o00505,p005,1,35.00
oi00506,o00506,p006,2,40.00
oi00507,o00507,p007,3,45.00
oi00508,o00508,p008,4,50.00
oi00509,o00509,p009,1,55.00
oi00510,o00510,p010,2,60.00
oi00511,o00511,p001,3,15.00
oi00512,o00512,p002,4,20.00
oi00513,o00513,p003,1,25.00
oi00514,o00514,p004,2,30.00
oi00515,o00515,p005,3,35.00
oi00516,o00516,p006,4,40.00
oi00517,o00517,p007,1,45.00
oi00518,o00518,p008,2,50.00
oi00519,o00519,p009,3,55.00
oi00520,o00520,p010,4,60.00
oi00521,o00521,p001,1,15.00
oi00522,o00522,p002,2,20.00
oi00523,o00523,p003,3,25.00
oi00524,o00524,p004,4,30.00
oi00525,o00525,p005,1,35.00
oi00526,o00526,p006,2,40.00
oi00527,o00527,p007,3,45.00
oi00528,o00528,p008,4,50.00
oi00529,o00529,p009,1,55.00
oi00530,o00530,p010,2,60.00
oi00531,o00531,p001,3,15.00
oi00532,o00532,p002,4,20.00
oi00533,o00533,p003,1,25.00
oi00534,o00534,p004,2,30.00
oi00535,o00535,p005,3,35.00
oi00536,o00536,p006,4,40.00
oi00537,o00537,p007,1,45.00
oi00538,o00538,p008,2,50.00
oi00539,o00539,p009,3,55.00
oi00540,o00540,p010,4,60.00
oi00541,o00541,p001,1,15.00
oi00542,o00542,p002,2,20.00
oi00543,o00543,p003,3,25.00
oi00544,o00544,p004,4,30.00
oi00545,o00545,p005,1,35.00
oi00546,o00546,p006,2,40.00
oi00547,o00547,p007,3,45.00
oi00548,o00548,p008,4,50.00
oi00549,o00549,p009,1,55.00
oi00550,o00550,p010,2,60.00
oi00551,o00551,p001,3,15.00
oi00552,o00552,p002,4,20.00
oi00553,o00553,p003,1,25.00
oi00554,o00554,p004,2,30.00
oi00555,o00555,p005,3,35.00
oi00556,o00556,p006,4,40.00
oi00557,o00557,p007,1,45.00
oi00558,o00558,p008,2,50.00
oi00559,o00559,p009,3,55.00
oi00560,o00560,p010,4,60.00
oi00561,o00561,p001,1,15.00
oi00562,o00562,p002,2,20.00
oi00563,o00563,p003,3,25.00
oi00564,o00564,p004,4,30.00
oi00565,o00565,p005,1,35.00
oi00566,o00566,p006,2,40.00
oi00567,o00567,p007,3,45.00
oi00568,o00568,p008,4,50.00
oi00569,o00569,p009,1,55.00
oi00570,o00570,p010,2,60.00
oi00571,o00571,p001,3,15.00
oi00572,o00572,p002,4,20.00
oi00573,o00573,p003,1,25.00
oi00574,o00574,p004,2,30.00
oi00575,o00575,p005,3,35.00
oi00576,o00576,p006,4,40.00
oi00577,o00577,p007,1,45.00
oi00578,o00578,p008,2,50.00
oi00579,o00579,p009,3,55.00
oi00580,o00580,p010,4,60.00
oi00581,o00581,p001,1,15.00
oi00582,o00582,p002,2,20.00
oi00583,o00583,p003,3,25.00
oi00584,o00584,p004,4,30.00
oi00585,o00585,p005,1,35.00
oi00586,o00586,p006,2,40.00
oi00587,o00587,p007,3,45.00
oi00588,o00588,p008,4,50.00
oi00589,o00589,p009,1,55.00
oi00590,o00590,p010,2,60.00
oi00591,o00591,p001,3,15.00
oi00592,o00592,p002,4,20.00
oi00593,o00593,p003,1,25.00
oi00594,o00594,p004,2,30.00
oi00595,o00595,p005,3,35.00
oi00596,o00596,p006,4,40.00
oi00597,o00597,p007,1,45.00
oi00598,o00598,p008,2,50.00
oi00599,o00599,p009,3,55.00
oi00600,o00600,p010,4,60.00
oi00601,o00601,p001,1,15.00
oi00602,o00602,p002,2,20.00
oi00603,o00603,p003,3,25.00
oi00604,o00604,p004,4,30.00
oi00605,o00605,p005,1,35.00
oi00606,o00606,p006,2,40.00
oi00607,o00607,p007,3,45.00
oi00608,o00608,p008,4,50.00
oi00609,o00609,p009,1,55.00
oi00610,o00610,p010,2,60.00
oi00611,o00611,p001,3,15.00
oi00612,o00612,p002,4,20.00
oi00613,o00613,p003,1,25.00
oi00614,o00614,p004,2,30.00
oi00615,o00615,p005,3,35.00
oi00616,o00616,p006,4,40.00
oi00617,o00617,p007,1,45.00
oi00618,o00618,p008,2,50.00
oi00619,o00619,p009,3,55.00
oi00620,o00620,p010,4,60.00
oi00621,o00621,p001,1,15.00
oi00622,o00622,p002,2,20.00
oi00623,o00623,p003,3,25.00
oi00624,o00624,p004,4,30.00
oi00625,o00625,p005,1,35.00
oi00626,o00626,p006,2,40.00
oi00627,o00627,p007,3,45.00
oi00628,o00628,p008,4,50.00
oi00629,o00629,p009,1,55.00
oi00630,o00630,p010,2,60.00
oi00631,o00631,p001,3,15.00
oi00632,o00632,p002,4,20.00
oi00633,o00633,p003,1,25.00
oi00634,o00634,p004,2,30.00
oi00635,o00635,p005,3,35.00
oi00636,o00636,p006,4,40.00
oi00637,o00637,p007,1,45.00
oi00638,o00638,p008,2,50.00
oi00639,o00639,p009,3,55.00
oi00640,o00640,p010,4,60.00
oi00641,o00641,p001,1,15.00
oi00642,o00642,p002,2,20.00
oi00643,o00643,p003,3,25.00
oi00644,o00644,p004,4,30.00
oi00645,o00645,p005,1,35.00
oi00646,o00646,p006,2,40.00
oi00647,o00647,p007,3,45.00
oi00648,o00648,p008,4,50.00
oi00649,o00649,p009,1,55.00
oi00650,o00650,p010,2,60.00
oi00651,o00651,p001,3,15.00
oi00652,o00652,p002,4,20.00
oi00653,o00653,p003,1,25.00
oi00654,o00654,p004,2,30.00
oi00655,o00655,p005,3,35.00
oi00656,o00656,p006,4,40.00
oi00657,o00657,p007,1,45.00
oi00658,o00658,p008,2,50.00
oi00659,o00659,p009,3,55.00
oi00660,o00660,p010,4,60.00
oi00661,o00661,p001,1,15.00
oi00662,o00662,p002,2,20.00
oi00663,o00663,p003,3,25.00
oi00664,o00664,p004,4,30.00
oi00665,o00665,p005,1,35.00
oi00666,o00666,p006,2,40.00
oi00667,o00667,p007,3,45.00
oi00668,o00668,p008,4,50.00
oi00669,o00669,p009,1,55.00
oi00670,o00670,p010,2,60.00
oi00671,o00671,p001,3,15.00
oi00672,o00672,p002,4,20.00
oi00673,o00673,p003,1,25.00
oi00674,o00674,p004,2,30.00
oi00675,o00675,p005,3,35.00
oi00676,o00676,p006,4,40.00
oi00677,o00677,p007,1,45.00
oi00678,o00678,p008,2,50.00
oi00679,o00679,p009,3,55.00
oi00680,o00680,p010,4,60.00
oi00681,o00681,p001,1,15.00
oi00682,o00682,p002,2,20.00
oi00683,o00683,p003,3,25.00
oi00684,o00684,p004,4,30.00
oi00685,o00685,p005,1,35.00
oi00686,o00686,p006,2,40.00
oi00687,o00001,p007,3,45.00
oi00688,o00002,p008,4,50.00
oi00689,o00003,p009,1,55.00
oi00690,o00004,p010,2,60.00
oi00691,o00005,p001,3,15.00
oi00692,o00006,p002,4,20.00
oi00693,o00007,p003,1,25.00
oi00694,o00008,p004,2,30.00
oi00695,o00009,p005,3,35.00
oi00696,o00010,p006,4,40.00
oi00697,o00011,p007,1,45.00
oi00698,o00012,p008,2,50.00
oi00699,o00013,p009,3,55.00
oi00700,o00014,p010,4,60.00
oi00701,o00015,p001,1,15.00
oi00702,o00016,p002,2,20.00
oi00703,o00017,p003,3,25.00
oi00704,o00018,p004,4,30.00
oi00705,o00019,p005,1,35.00
oi00706,o00020,p006,2,40.00
oi00707,o00021,p007,3,45.00
oi00708,o00022,p008,4,50.00
oi00709,o00023,p009,1,55.00
oi00710,o00024,p010,2,60.00
oi00711,o00025,p001,3,15.00
oi00712,o00026,p002,4,20.00
oi00713,o00027,p003,1,25.00
oi00714,o00028,p004,2,30.00
oi00715,o00029,p005,3,35.00
oi00716,o00030,p006,4,40.00
oi00717,o00031,p007,1,45.00
oi00718,o00032,p008,2,50.00
oi00719,o00033,p009,3,55.00
oi00720,o00034,p010,4,60.00
oi00721,o00035,p001,1,15.00
oi00722,o00036,p002,2,20.00
oi00723,o00037,p003,3,25.00
oi00724,o00038,p004,4,30.00
oi00725,o00039,p005,1,35.00
oi00726,o00040,p006,2,40.00
oi00727,o00041,p007,3,45.00
oi00728,o00042,p008,4,50.00
oi00729,o00043,p009,1,55.00
oi00730,o00044,p010,2,60.00
oi00731,o00045,p001,3,15.00
oi00732,o00046,p002,4,20.00
oi00733,o00047,p003,1,25.00
oi00734,o00048,p004,2,30.00
oi00735,o00049,p005,3,35.00
oi00736,o00050,p006,4,40.00
oi00737,o00051,p007,1,45.00
oi00738,o00052,p008,2,50.00
oi00739,o00053,p009,3,55.00
oi00740,o00054,p010,4,60.00
oi00741,o00055,p001,1,15.00
oi00742,o00056,p002,2,20.00
oi00743,o00057,p003,3,25.00
oi00744,o00058,p004,4,30.00
oi00745,o00059,p005,1,35.00
oi00746,o00060,p006,2,40.00
oi00747,o00061,p007,3,45.00
oi00748,o00062,p008,4,50.00
oi00749,o00063,p009,1,55.00
oi00750,o00064,p010,2,60.00
oi00751,o00065,p001,3,15.00
oi00752,o00066,p002,4,20.00
oi00753,o00067,p003,1,25.00
oi00754,o00068,p004,2,30.00
oi00755,o00069,p005,3,35.00
oi00756,o00070,p006,4,40.00
oi00757,o00071,p007,1,45.00
oi00758,o00072,p008,2,50.00
oi00759,o00073,p009,3,55.00
oi00760,o00074,p010,4,60.00
oi00761,o00075,p001,1,15.00
oi00762,o00076,p002,2,20.00
oi00763,o00077,p003,3,25.00
oi00764,o00078,p004,4,30.00
oi00765,o00079,p005,1,35.00
oi00766,o00080,p006,2,40.00
oi00767,o00081,p007,3,45.00
oi00768,o00082,p008,4,50.00
oi00769,o00083,p009,1,55.00
oi00770,o00084,p010,2,60.00
oi00771,o00085,p001,3,15.00
oi00772,o00086,p002,4,20.00
oi00773,o00087,p003,1,25.00
oi00774,o00088,p004,2,30.00
oi00775,o00089,p005,3,35.00
