payment_id,order_id,payment_date,payment_method,payment_status,amount
pay00060,o00060,2024-01-06,bank_transfer,refunded,20.00
pay00061,o00061,2024-01-07,credit_card,paid,25.00
pay00062,o00062,2024-01-07,debit_card,pending,30.00
pay00063,o00063,2024-01-07,paypal,refunded,35.00
pay00064,o00064,2024-01-07,bank_transfer,paid,40.00
pay00065,o00065,2024-01-07,credit_card,pending,45.00
pay00066,o00066,2024-01-07,debit_card,refunded,50.00
pay00067,o00067,2024-01-07,paypal,paid,55.00
pay00068,o00068,2024-01-07,bank_transfer,pending,60.00
pay00069,o00069,2024-01-07,credit_card,refunded,65.00
pay00070,o00070,2024-01-07,debit_card,paid,20.00
pay00071,o00071,2024-01-08,paypal,pending,25.00
pay00072,o00072,2024-01-08,bank_transfer,refunded,30.00
pay00073,o00073,2024-01-08,credit_card,paid,35.00
pay00074,o00074,2024-01-08,debit_card,pending,40.00
pay00075,o00075,2024-01-08,paypal,refunded,45.00
pay00076,o00076,2024-01-08,bank_transfer,paid,50.00
pay00077,o00077,2024-01-08,credit_card,pending,55.00
pay00078,o00078,2024-01-08,debit_card,refunded,60.00
pay00079,o00079,2024-01-08,paypal,paid,65.00
pay00080,o00080,2024-01-08,bank_transfer,pending,20.00
pay00081,o00081,2024-01-09,credit_card,refunded,25.00
pay00082,o00082,2024-01-09,debit_card,paid,30.00
pay00083,o00083,2024-01-09,paypal,pending,35.00
pay00084,o00084,2024-01-09,bank_transfer,refunded,40.00
pay00085,o00085,2024-01-09,credit_card,paid,45.00
pay00086,o00086,2024-01-09,debit_card,pending,50.00
pay00087,o00087,2024-01-09,paypal,refunded,55.00
pay00088,o00088,2024-01-09,bank_transfer,paid,60.00
pay00089,o00089,2024-01-09,credit_card,pending,65.00
pay00090,o00090,2024-01-09,debit_card,refunded,20.00
pay00091,o00091,2024-01-10,paypal,paid,25.00
pay00092,o00092,2024-01-10,bank_transfer,pending,30.00
pay00093,o00093,2024-01-10,credit_card,refunded,35.00
pay00094,o00094,2024-01-10,debit_card,paid,40.00
pay00095,o00095,2024-01-10,paypal,pending,45.00
pay00096,o00096,2024-01-10,bank_transfer,refunded,50.00
pay00097,o00097,2024-01-10,credit_card,paid,55.00
pay00098,o00098,2024-01-10,debit_card,pending,60.00
pay00099,o00099,2024-01-10,paypal,refunded,65.00
pay00100,o00100,2024-01-10,bank_transfer,paid,20.00
pay00101,o00101,2024-01-11,credit_card,pending,25.00
pay00102,o00102,2024-01-11,debit_card,refunded,30.00
pay00103,o00103,2024-01-11,paypal,paid,35.00
pay00104,o00104,2024-01-11,bank_transfer,pending,40.00
pay00105,o00105,2024-01-11,credit_card,refunded,45.00
pay00106,o00106,2024-01-11,debit_card,paid,50.00
pay00107,o00107,2024-01-11,paypal,pending,55.00
pay00108,o00108,2024-01-11,bank_transfer,refunded,60.00
pay00109,o00109,2024-01-11,credit_card,paid,65.00
pay00110,o00110,2024-01-11,debit_card,pending,20.00
pay00111,o00111,2024-01-12,paypal,refunded,25.00
pay00112,o00112,2024-01-12,bank_transfer,paid,30.00
pay00113,o00113,2024-01-12,credit_card,pending,35.00
